id;book_id;rented_date;due_date;book_title
1;93544;2020-05-17;2020-05-18;User-centric
2;30947;2020-05-17;2020-05-17;utilize interface
3;48439;2020-05-18;2020-05-17;Handmade withdrawal maximized
4;40173;2020-05-17;2020-05-17;Nevada Pants
5;29114;2020-05-17;2020-05-17;Tactics indexing Keyboard
6;32491;2020-05-18;2020-05-17;overriding
7;26706;2020-05-17;2020-05-18;Egypt granular Personal Loan Account
8;11663;2020-05-17;2020-05-17;Dynamic auxiliary
9;51884;2020-05-17;2020-05-18;Avon
10;4100;2020-05-17;2020-05-17;Azerbaijan Ergonomic
